Date,Open,High,Low,Close,Volume
2008-10-09,45.62,46.0,45.06,45.58,3463
2008-10-10,39.31,42.06,38.71,41.75,14534
2008-10-13,42.88,45.0,42.5,42.64,1519
2008-10-14,46.43,46.81,42.76,42.86,3131
2008-10-15,41.73,41.73,37.86,37.99,4843
2008-10-16,35.83,36.5,33.03,33.03,10799
2008-10-17,38.53,38.54,36.88,38.54,7014
2008-10-20,38.37,39.6,38.25,38.63,6995
2008-10-21,40.31,40.31,38.4,39.6,7951
2008-10-22,39.39,39.39,37.85,38.0,1985
2008-10-23,34.3,35.85,32.56,35.85,14350
2008-10-24,37.0,40.26,36.13,40.26,22641
2008-10-27,37.52,40.78,37.13,39.87,3835
2008-10-28,40.92,41.48,40.08,40.91,1315
2008-10-29,44.2,44.92,42.8,44.92,2339
2008-10-30,44.93,44.98,43.26,43.26,2587
2008-10-31,43.78,44.2,43.68,43.68,2330
2008-11-03,45.02,45.02,44.18,44.22,1713
2008-11-04,44.77,45.46,43.16,43.93,5579
2008-11-05,45.37,45.37,42.6,42.6,1663
2008-11-06,39.92,39.98,38.11,38.11,4089
2008-11-07,37.89,38.2,37.35,38.18,257
2008-11-10,39.95,39.95,37.04,37.04,2402
2008-11-11,35.88,36.54,35.88,36.54,363
2008-11-12,36.51,36.51,34.5,35.19,3119
2008-11-13,33.1,33.5,32.36,32.8,2143
2008-11-14,35.0,35.0,33.84,33.84,935
2008-11-17,32.34,32.34,31.54,31.9,3270
2008-11-18,31.71,31.73,30.65,31.52,1831
2008-11-19,30.5,30.59,29.31,29.31,465
2008-11-20,28.26,29.47,27.84,29.47,8167
2008-11-21,28.55,30.76,28.55,29.79,9005
2008-11-24,29.13,31.6,29.13,31.6,2387
2008-11-25,32.7,33.12,31.8,31.8,2671
2008-11-26,32.38,32.38,31.31,31.38,2785
2008-11-28,34.5,34.5,34.5,34.5,30
2008-12-01,33.84,34.12,32.6,33.26,5330
2008-12-02,33.0,33.0,31.0,32.54,2762
2008-12-03,32.1,35.18,31.5,35.18,5738
2008-12-04,36.7,39.31,36.7,39.31,7721
2008-12-05,37.33,37.33,35.44,35.44,5157
2008-12-08,37.14,38.44,37.1,38.44,8416
2008-12-09,37.25,41.39,37.25,40.51,4208
2008-12-10,40.33,40.33,38.7,38.81,508
2008-12-11,38.74,39.22,36.48,36.48,2050
2008-12-12,34.0,37.55,33.12,37.55,2925
2008-12-15,39.69,39.69,38.05,38.05,526
2008-12-16,36.41,36.78,36.41,36.78,380
2008-12-17,37.01,37.01,36.01,36.51,1491
2008-12-18,37.0,38.04,36.62,38.04,1120
2008-12-19,37.04,38.01,36.84,38.01,2327
2008-12-22,37.04,37.25,36.5,36.77,4654
2008-12-23,35.99,36.88,35.6,36.85,1049
2009-08-17,58.49,58.65,57.02,57.02,924
2009-11-13,87.7,88.82,87.35,87.66,1555
2009-11-16,89.07,89.61,88.0,89.61,2090
2009-11-17,88.31,88.55,87.23,87.5,1331
2009-11-18,88.28,88.28,87.03,87.05,407
2009-11-19,88.0,88.32,86.5,86.5,2337
2009-11-20,86.85,86.85,86.1,86.66,961
2009-11-23,87.68,88.6,87.22,88.46,2542
2009-11-24,89.2,89.58,88.78,89.06,1437
2009-11-25,89.62,89.62,87.95,87.95,2260
2009-11-27,85.45,90.0,83.0,88.66,6167
2009-11-30,87.6,89.89,87.6,89.07,1437
2009-12-01,90.2,91.84,90.02,91.74,2651
2009-12-02,92.43,94.31,91.55,94.31,1046
2009-12-03,95.0,96.7,94.6,96.66,2864
2009-12-04,93.25,95.1,91.73,93.93,3217
2009-12-07,92.87,93.72,92.35,92.71,2362
2009-12-08,91.03,91.36,90.34,90.83,797
2009-12-09,90.75,91.6,88.71,88.77,1399
2009-12-10,89.23,90.85,88.63,88.63,1271
2009-12-11,93.15,93.15,91.7,91.7,2515
2009-12-14,91.45,91.45,87.9,90.0,1536
2009-12-15,90.55,91.0,89.9,91.0,236
2009-12-16,89.3,90.22,89.22,89.22,1736
2009-12-17,89.33,90.47,88.7,89.68,1283
2009-12-18,88.5,89.35,88.22,88.22,844
2009-12-21,90.06,92.57,89.15,92.55,1929
2009-12-22,92.51,95.0,92.51,94.94,1283
2009-12-23,93.55,95.8,93.55,95.52,1262
2009-12-24,93.55,95.8,93.55,95.52,1262
2009-12-28,96.0,98.63,95.88,98.3,5811
2009-12-29,96.7,98.1,96.3,97.7,2008
2009-12-30,98.0,98.0,96.5,96.5,800
2009-12-31,98.0,98.0,96.5,96.5,800
2010-01-04,95.3,95.3,92.75,92.75,7851
2010-01-05,92.03,93.52,90.95,93.51,1655
2010-01-06,94.0,94.5,92.53,92.53,6414
2010-01-07,92.23,92.41,90.88,90.96,4870
2010-01-08,90.5,91.76,89.34,91.49,8951
2010-01-11,92.03,92.5,89.11,89.11,3921
2010-01-12,89.91,89.91,87.98,88.15,7276
2010-01-13,87.9,87.9,86.92,87.74,5740
2010-01-14,88.6,89.99,87.9,88.25,8565
2010-01-15,88.25,90.07,87.7,89.5,8315
2010-01-19,89.7,89.7,87.21,88.01,10708
2010-01-20,89.1,91.21,89.1,89.28,7017
2010-01-21,89.85,90.64,89.19,89.2,6741
2010-01-22,88.91,90.11,87.88,89.0,2875
2010-01-25,85.96,86.58,82.6,84.0,3775
2010-01-26,84.8,87.8,84.8,86.97,6625
2010-01-27,85.2,88.96,84.7,87.29,3808
2010-01-28,88.5,91.0,87.93,89.1,2508
2010-01-29,92.8,94.6,90.66,92.48,9655
2010-02-01,90.95,91.0,83.43,83.56,3167
2010-02-02,85.75,85.87,82.28,82.5,3106
2010-02-03,84.77,85.56,83.8,85.56,6157
2010-02-04,85.7,86.82,84.87,84.87,1693
2010-02-05,84.41,85.43,83.61,85.43,1878
2010-02-08,85.75,88.2,85.75,87.06,2472
2010-02-09,85.4,86.3,85.4,85.52,708
2010-02-10,85.6,86.23,85.2,86.2,96
2010-02-11,86.09,86.92,85.1,86.92,949
2010-02-12,87.6,88.3,87.3,87.3,420
2010-02-16,88.06,88.29,86.4,86.4,3004
2010-02-17,85.14,86.19,84.82,84.94,845
2010-02-18,84.93,85.53,84.66,84.66,432
2010-02-19,86.9,88.0,86.53,87.1,1970
2010-02-22,86.8,86.8,85.56,86.75,341
2010-02-23,87.3,87.4,86.36,86.65,284
2010-02-24,86.66,87.36,86.66,87.34,58
2010-02-25,88.66,88.66,85.64,85.64,262
2010-02-26,86.07,86.53,86.07,86.5,113
2010-03-01,87.1,89.0,87.1,89.0,392
2010-03-02,91.48,93.7,91.48,93.5,1743
2010-03-03,91.55,92.64,91.44,91.84,832
2010-03-04,92.0,93.85,92.0,93.85,338
2010-03-05,94.42,95.34,94.22,94.22,830
2010-03-08,94.76,94.76,93.22,94.55,838
2010-03-09,95.7,95.8,95.0,95.75,600
2010-03-10,95.42,95.72,94.5,95.72,311
2010-03-11,95.01,96.97,95.01,96.97,722
2010-03-12,97.8,97.83,95.92,95.92,798
2010-03-15,95.08,95.9,94.49,94.98,718
2010-03-16,95.6,96.16,95.6,96.16,508
2010-03-17,95.67,96.5,95.67,96.5,491
2010-03-18,95.25,97.07,95.25,97.07,1455
2010-03-19,97.07,98.12,96.58,96.72,1070
2010-03-22,95.32,96.15,95.32,95.78,1253
2010-03-23,96.05,97.0,94.97,95.3,333
2010-03-24,95.6,97.0,95.6,95.64,404
2010-03-25,96.91,102.4,95.74,101.75,1915
2010-03-26,100.95,101.45,100.5,101.05,1201
2010-03-29,101.5,101.5,100.2,100.2,1162
2010-03-30,100.7,102.4,100.0,102.4,610
2010-03-31,101.9,101.9,99.7,100.2,1899
2010-04-01,101.9,101.9,98.95,98.95,2978
2010-04-06,98.52,101.5,97.68,101.25,1970
2010-04-07,101.75,101.9,100.75,101.75,330
2010-04-08,100.15,104.3,100.15,104.3,1233
2010-04-09,105.1,105.7,103.9,103.9,1133
2010-04-12,103.65,104.85,102.45,104.6,506
2010-04-13,104.15,104.2,102.9,103.35,904
2010-04-14,103.65,105.6,102.5,105.45,795
2010-04-15,105.5,108.35,105.5,107.35,4136
2010-04-16,107.95,108.65,106.85,107.0,2014
2010-04-19,104.8,106.65,104.4,104.65,3176
2010-04-20,105.25,106.15,105.0,106.15,625
2010-04-21,107.25,110.6,107.1,108.2,2405
2010-04-22,109.75,111.3,109.0,110.55,2974
2010-04-23,107.9,111.85,106.55,107.15,9905
2010-04-26,107.85,110.05,107.6,109.85,2019
2010-04-27,110.0,110.2,107.85,107.85,2944
2010-04-28,107.85,107.85,105.55,106.55,2279
2010-04-29,106.45,107.1,105.1,107.1,1875
2010-04-30,107.05,107.3,104.05,104.05,654
2010-05-03,104.8,104.8,103.3,103.95,1456
2010-05-04,104.55,104.8,101.1,101.55,1346
2010-05-05,100.9,101.5,98.62,101.5,3047
2010-05-06,102.95,103.55,102.1,103.55,1461
2010-05-07,99.45,101.95,99.4,100.6,2125
2010-05-10,97.55,102.4,97.3,102.3,1766
2010-05-11,102.4,102.8,100.25,102.7,1376
2010-05-12,103.0,104.0,102.5,102.5,1772
2010-05-13,105.5,108.9,105.5,107.8,7577
2010-05-14,105.55,106.0,103.95,104.55,1937
2010-05-17,104.5,104.7,103.9,103.9,197
2010-05-18,104.6,105.25,103.75,104.25,1293
2010-05-19,103.95,103.95,101.9,102.1,623
2010-05-20,100.45,100.9,97.92,99.5,1590
2010-05-21,94.01,98.07,93.7,98.07,4377
2010-05-24,97.64,99.8,97.64,99.5,579
2010-05-25,97.0,99.46,97.0,99.46,1365
2010-05-26,101.05,102.6,100.9,101.65,2244
2010-05-27,101.8,102.8,101.1,101.35,1716
2010-05-28,101.8,103.0,101.65,102.15,1885
2010-06-01,100.65,101.85,100.65,101.85,137
2010-06-02,101.2,101.2,100.15,100.35,947
2010-06-03,103.0,103.7,102.35,103.4,1121
2010-06-04,105.15,106.2,104.1,106.15,1754
2010-06-07,102.2,105.7,102.2,103.85,5531
2010-06-08,102.6,102.6,96.0,98.65,5094
2010-06-09,98.84,100.2,97.97,100.2,1100
2010-06-10,98.28,100.85,97.02,100.6,2234
2010-06-11,101.15,102.2,100.0,100.95,4431
2010-06-14,101.0,102.0,100.85,101.7,4413
2010-06-15,101.7,102.0,99.85,101.6,1959
2010-06-16,102.0,103.55,102.0,103.15,623
2010-06-17,103.45,103.45,101.6,101.6,351
2010-06-18,101.15,102.85,101.15,102.75,1187
2010-06-21,101.6,103.25,101.6,101.85,1328
2010-06-22,99.11,101.15,99.04,101.15,2806
2010-06-23,100.45,100.45,98.4,99.0,2646
2010-06-24,98.02,98.49,94.5,95.55,1128
2010-06-25,95.8,97.93,95.5,97.93,3616
2010-06-28,97.47,98.4,95.25,96.9,3584
2010-06-29,94.91,95.44,91.71,91.71,1672
2010-06-30,89.85,91.12,88.48,91.12,2787
2010-07-01,88.65,89.35,85.99,87.63,1740
